Active,Model Name,Trim Name,Color Name,ColorID,Price (no commas),Image,360?,Notes
yes,Accent,GLS,Century White,White,15320,,yes,
yes,Accent,GLS,Cyclone Gray,Gray,15320,,,
yes,Accent,GLS,Boston Red,Red,15320,,,
yes,Accent,GLS,Marathon Blue,Blue,15320,,,
yes,Accent,GLS,Ironman Silver,Gray,15320,,,
yes,Accent,GLS,Ultra Black,Black,15320,,,
yes,Accent,GLS,Clearwater Blue,Blue,15320,,,
yes,Accent,SE,Electrolyte Green,Green,16870,,,
yes,Accent,SE,Ironman Silver,Gray,16870,,,
yes,Accent,SE,Ultra Black,Black,16870,,,
yes,Accent,SE,Boston Red,Red,16870,,,
yes,Accent,SE,Clearwater Blue,Blue,16870,,,
yes,Accent,SE,Century White,White,16870,,,
yes,Accent,SE,Cyclone Gray,Gray,16870,,,
yes,Accent,SE,Marathon Blue,Blue,16870,,,
yes,Veloster,6 Speed Manual,Century White,White,18255,,,
yes,Veloster,6 Speed Manual,Triathlon Gray,Gray,18255,,yes,
yes,Veloster,6 Speed Manual,Marathon Blue,Blue,18255,,,
yes,Veloster,6 Speed Manual,Boston Red,Red,18255,,,
yes,Veloster,6 Speed Manual,Ultra Black,Black,18255,,,
yes,Veloster,6 Speed Manual,Ironman Silver,Gray,18255,,,
yes,Veloster,Turbo 6 Speed,Matte Gray,Black,23725,,,
yes,Veloster,Turbo 6 Speed,Ironman Silver,Gray,23725,,,
yes,Veloster,Turbo 6 Speed,Ultra Black,Black,23725,,,
yes,Veloster,Turbo 6 Speed,Marathon Blue,Blue,23725,,,
yes,Veloster,Turbo 6 Speed,Elite White,White,23725,,,
yes,Veloster,Turbo 6 Speed,Boston Red,Red,23725,,,
yes,Elantra,GLS 4-cylinder A/T,Shimmering White,White,18590,,,
yes,Elantra,GLS 4-cylinder A/T,Silver,Gray,18590,,,
yes,Elantra,GLS 4-cylinder A/T,Indigo Night,Blue,18590,,yes,
yes,Elantra,GLS 4-cylinder A/T,Black,Black,18590,,,
yes,Elantra,GLS 4-cylinder A/T,Red,Red,18590,,,
yes,Elantra,GLS 4-cylinder A/T,Blue Sky Metallic,Blue,18590,,,
yes,Elantra,GLS 4-cylinder A/T,Gray ,Gray,18590,,,
yes,Elantra,Limited,Shimmering White,White,21740,,,
yes,Elantra,Limited,Silver,Gray,21740,,,
yes,Elantra,Limited,Indigo Night,Blue,21740,,,
yes,Elantra,Limited,Red,Red,21740,,,
yes,Elantra,Limited,Black,Black,21740,,,
yes,Elantra,Limited,Gray,Black,21740,,,
yes,Elantra,Limited,Blue Sky Metallic,Blue,21740,,,
yes,Elantra Coupe,GS 6 Speed,Monaco White,White,18220,,,
yes,Elantra Coupe,GS 6 Speed,Shimmering Silver,White,18220,,,
yes,Elantra Coupe,GS 6 Speed,Atlantic Blue,Blue,18220,,,
yes,Elantra Coupe,GS 6 Speed,Black Noir Pearl,Black,18220,,yes,
yes,Elantra Coupe,GS 6 Speed,Volcanic Red,Red,18220,,,
yes,Elantra Coupe,GS 6 Speed,Blue Sky Metallic,Blue,18220,,,
yes,Elantra Coupe,GS 6 Speed,Titanium Gray Metallic,Gray,18220,,,
yes,Elantra Coupe,SE,Shimmering Silver,White,21520,,,
yes,Elantra Coupe,SE,Atlantic Blue,Blue,21520,,,
yes,Elantra Coupe,SE,Black Noir Pearl,Black,21520,,,
yes,Elantra Coupe,SE,Volcanic Red,Red,21520,,,
yes,Elantra Coupe,SE,Blue Sky Metallic,Blue,21520,,,
yes,Elantra Coupe,SE,Titanium Gray Metallic,Black,21520,,,
yes,Elantra Coupe,SE,Monaco White,White,21520,,,
yes,Elantra GT,6 Speed,Monaco White,White,19170,,,
yes,Elantra GT,6 Speed,Shimmering Silver,White,19170,,,
yes,Elantra GT,6 Speed,Atlantic Blue,Blue,19170,,,
yes,Elantra GT,6 Speed,Black Noir Pearl,Black,19170,,,
yes,Elantra GT,6 Speed,Volcanic Red,Red,19170,,yes,
yes,Elantra GT,6 Speed,Titanium Gray Metallic,Black,19170,,,
yes,Sonata  ,SE 2.0T,Harbor Gray Metallic,Black,25670,,,
yes,Sonata,SE 2.0T,Midnight Black,Black,25670,,,
yes,Sonata,SE 2.0T,Radiant Silver,Gray,25670,,,
yes,Sonata,SE 2.0T,Pacific Blue Pearl,Blue,25670,,yes,
yes,Sonata,SE 2.0T,Sparkling Ruby,Red,25670,,,
yes,Sonata,SE 2.0T,Indigo Night,Blue,25670,,,
yes,Sonata,SE 2.0T,Iridescent Silver Blue Pearl,Blue,25670,,,
yes,Sonata,SE 2.0T,Shimmering White,White,25670,,,
yes,Sonata,Limited 2.0T,Sparkling Ruby,Red,28370,,,
yes,Sonata,Limited 2.0T,Harbor Gray Metallic,Black,28370,,,
yes,Sonata,Limited 2.0T,Midnight Black,Black,28370,,,
yes,Sonata,Limited 2.0T,Radiant Silver,Gray,28370,,,
yes,Sonata,Limited 2.0T,Pacific Blue Pearl,Blue,28370,,,
yes,Sonata,Limited 2.0T,Shimmering White,White,28370,,,
yes,Sonata,Limited 2.0T,Indigo Night,Blue,28370,,,
yes,Sonata,Limited 2.0T,Iridescent Silver Blue Pearl,Blue,28370,,,
yes,Azera,3.3L GDI V6 Speed,Black Onyx Pearl,Black,33125,,,
yes,Azera,3.3L GDI V6 Speed,Porcelain White Pearl,White,33125,,yes,
yes,Azera,3.3L GDI V6 Speed,Silver Frost Metallic,White,33125,,,
yes,Azera,3.3L GDI V6 Speed,Smoke Gray Metallic,Gray,33125,,,
yes,Azera,3.3L GDI V6 Speed,Hyper Silver Metallic,Gray,33125,,,
yes,Azera,3.3L GDI V6 Speed,Venetian Red Pearl,Red,33125,,,
yes,Azera,3.3L GDI V6 Speed,Midnight Blue Pearl,Blue,33125,,yes,
yes,Sonata Hybrid,2.4 Atkinson Cycle HEV 6 Speed,Blue Sky Metallic,Blue,26625,,,
yes,Sonata Hybrid,2.4 Atkinson Cycle HEV 6 Speed,Silver Frost Metallic,White,26625,,,
yes,Sonata Hybrid,2.4 Atkinson Cycle HEV 6 Speed,Hyper Silver Metallic,Gray,26625,,,
yes,Sonata Hybrid,2.4 Atkinson Cycle HEV 6 Speed,Porcelain White Pearl,White,26625,,,
yes,Sonata Hybrid,2.4 Atkinson Cycle HEV 6 Speed,Black Onyx Pearl,Black,26625,,,
yes,Sonata Hybrid,2.4 Atkinson Cycle HEV 6 Speed,Venetian Red Pearl,Red,26625,,,
yes,Tucson,GL,Cotton White,White,20070,,,
yes,Tucson,GL,Diamond Silver,Gray,20070,,,
yes,Tucson,GL,Graphite Gray,Gray,20070,,,
yes,Tucson,GL,Ash Black,Black,20070,,,
yes,Tucson,GL,Garnet Red,Red,20070,,yes,
yes,Tucson,GL,Chai Bronze,Gray,20070,,,
yes,Tucson,GLS,Cotton White,White,24920,,,
yes,Tucson,GLS,Diamond Silver,Gray,24920,,,
yes,Tucson,GLS,Graphite Gray,Gray,24920,,,
yes,Tucson,GLS,Ash Black,Black,24920,,,
yes,Tucson,GLS,Garnet Red,Red,24920,,,
yes,Tucson,GLS,Iris Blue,Blue,24920,,,
yes,Tucson,GLS,Aurora Blue,Blue,24920,,,
yes,Santa Fe,Sport,Marlin Blue,Blue,25275,,,
yes,Santa Fe,Sport,Frost White Pearl,White,25275,,,
yes,Santa Fe,Sport,Moonstone Silver,Gray,25275,,yes,
yes,Santa Fe,Sport,Twilight Black,Black,25275,,,
yes,Santa Fe,Sport,Serrano Red,Red,25275,,,
yes,Santa Fe,Sport,Canyon Copper,Red,25275,,,
yes,Santa Fe,Sport 2.0T,Marlin Blue,Blue,30275,,,
yes,Santa Fe,Sport 2.0T,Frost White Pearl,White,30275,,,
yes,Santa Fe,Sport 2.0T,Moonstone Silver,Gray,30275,,,
yes,Santa Fe,Sport 2.0T,Twilight Black,Black,30275,,,
yes,Santa Fe,Sport 2.0T,Serrano Red,Red,30275,,,
yes,Santa Fe,Sport 2.0T,Canyon Copper,Red,30275,,,
yes,Veracruz,GLS,Shimmering Silver,Gray,31070,,,
yes,Veracruz,GLS,Black Noir Pearl,Black,31070,,,
yes,Veracruz,GLS,Stone White,White,31070,,,
yes,Veracruz,GLS,Marlin Blue,Blue,31070,,,
yes,Veracruz,GLS,Boulder Gray,Gray,31070,,,
yes,Veracruz,GLS,Athens Blue,Gray,31070,,,
yes,Veracruz,Limited,Shimmering Silver,Gray,37020,,,
yes,Veracruz,Limited,Black Noir Pearl,Black,37020,,yes,
yes,Veracruz,Limited,Stone White,White,37020,,,
yes,Veracruz,Limited,Marlin Blue,Blue,37020,,,
yes,Veracruz,Limited,Boulder Gray,Gray,37020,,,
yes,Veracruz,Limited,Athens Blue,Gray,37020,,,
yes,Genesis Coupe,2.0T,White Satin Pearl,White,26375,GenesisCoupe_20T_WhiteSatinPearl_01.jpg,yes,
yes,Genesis Coupe,2.0T,Black Noir Pearl,Black,26375,GenesisCoupe_20T_BlackNoirPearl_01.jpg,,
yes,Genesis Coupe,2.0T,Platinum Metallic,Gray,26375,GenesisCoupe_20T_PlatinumMetallic_01.jpg,,
yes,Genesis Coupe,2.0T,Grand Premio Gray,Black,26375,GenesisCoupe_20T_GranPrimioGray_01.jpg,,
yes,Genesis Coupe,2.0T,Tsukuba Red,Red,26375,GenesisCoupe_20T_TsukubaRed_01.jpg,,
yes,Genesis Coupe,2.0T,Shoreline Drive Blue,Blue,26375,GenesisCoupe_20T_ShorelineDriveBlue_01.jpg,,
yes,Genesis Coupe,3.8 Grand Touring ,Parabolica Blue,Black,32875,GenesisCoupe_GrandTouring_ParabolicaBlue_01.jpg,yes,
yes,Genesis Coupe,3.8 Grand Touring,White Satin Pearl,White,32875,GenesisCoupe_GrandTouring_WhiteSatinPearl_01.jpg,,
yes,Genesis Coupe,3.8 Grand Touring,Black Noir Pearl,Black,32875,GenesisCoupe_GrandTouring_BlackNoirPearl_01.jpg,,
yes,Genesis Coupe,3.8 Grand Touring,Platinum Metallic,Gray,32875,GenesisCoupe_GrandTouring_PlatinumMetallic_01.jpg,,
yes,Genesis Coupe,3.8 Grand Touring,Grand Premio Gray,Black,32875,GenesisCoupe_GrandTouring_GranPrimioGray_01.jpg,,
yes,Genesis  ,3.8 V6 8-Speed,White Satin Pearl,White,35075,,,
yes,Genesis,3.8 V6 8-Speed,Black Noir Pearl,Black,35075,,,
yes,Genesis,3.8 V6 8-Speed,Twilight Blue Pearl,Blue,35075,,yes,
yes,Genesis,3.8 V6 8-Speed,Titanium Gray Metallic,Gray,35075,,,
yes,Genesis,3.8 V6 8-Speed,Platinum Metallic,Gray,35075,,,
yes,Genesis,3.8 V6 8-Speed,Cabernet Red Pearl,Red,35075,,,
yes,Genesis,5.0 R-Spec,White Satin Pearl,White,47675,,,
yes,Genesis,5.0 R-Spec,Black Noir Pearl,Black,47675,,,
yes,Genesis,5.0 R-Spec,Titanium Gray Metallic,Gray,47675,,,
yes,Genesis,5.0 R-Spec,Platinum Metallic,Gray,47675,,,
yes,Genesis,5.0 R-Spec,Cabernet Red Pearl,Red,47675,,yes,
yes,Equus,Signature,Platinum Metallic,Gray,60150,,,
yes,Equus,Signature,White Satin Pearl,White,60150,,,
yes,Equus,Signature,Black Noir Pearl,Black,60150,,,
yes,Equus,Signature,Titanium Gray Metallic,Gray,60150,,,
yes,Equus,Ultimate,Platinum Metallic,Gray,67150,,,
yes,Equus,Ultimate,White Satin Pearl,White,67150,,,
yes,Equus,Ultimate,Black Noir Pearl,Black,67150,,,
yes,Equus,Ultimate,Titanium Gray Metallic,Gray,67150,,,